Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southern Severe Storms and Flooding,Flooding,1980-04-10,1980-04-17,2749.4,706.8,7
Hurricane Allen,Tropical Cyclone,1980-08-07,1980-08-11,2236.2,590,13
Central/Eastern Drought/Heat Wave,Drought,1980-06-01,1980-11-30,40681.2,10020,1260
Florida Freeze,Freeze,1981-01-12,1981-01-14,2076.4,572,0
"Severe Storms, Flash Floods, Hail, Tornadoes",Severe Storm,1981-05-05,1981-05-10,1409.1,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",Winter Storm,1982-01-08,1982-01-16,2217.8,662,85
Midwest/Plains/Southeast Tornadoes,Severe Storm,1982-04-02,1982-04-04,1604,483.2,33
Severe Storms,Severe Storm,1982-05-31,1982-06-10,1579,479.9,30
Gulf States Storms and Flooding,Flooding,1982-12-01,1983-01-15,4946.2,1536.1,45
Western Storms and Flooding,Flooding,1982-12-13,1983-03-31,4828.7,1499.6,50
Hurricane Alicia,Tropical Cyclone,1983-08-17,1983-08-20,9450,3000,21
Southeast Drought,Drought,1983-06-01,1983-08-31,9574,2964.1,0
Arizona Flooding,Flooding,1983-09-29,1983-10-03,1252,400,14
Freeze/Cold Wave,Freeze,1983-12-15,1983-12-25,6479.5,2005.8,151
"Tornadoes, Severe Storms, Floods",Severe Storm,1984-03-27,1984-04-07,1851.6,603.1,80
Severe Storms and Hail,Severe Storm,1984-06-13,1984-06-17,1356.4,446.2,1
Florida Freeze,Freeze,1985-01-20,1985-01-22,3588,1200,0
"Winter Storm, Cold Wave",Winter Storm,1985-01-19,1985-01-22,2502.4,836.9,150
Ohio and Pennsylvania Tornado Outbreak,Severe Storm,1985-05-31,1985-05-31,1758.1,600,89
Hurricane Elena,Tropical Cyclone,1985-08-30,1985-09-03,3788.4,1297.4,4
Hurricane Gloria,Tropical Cyclone,1985-09-26,1985-09-28,2491.3,856.1,11
Hurricane Juan,Tropical Cyclone,1985-10-27,1985-10-31,4340.4,1496.7,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding",Flooding,1985-11-03,1985-11-08,4046,1400,62
Western Severe Storms and Flooding,Severe Storm,1986-02-14,1986-02-16,1531.1,529.8,13
Southeast Drought/Heat Wave,Drought,1986-06-01,1986-08-31,5194.5,1803.6,100
Michigan Flooding,Flooding,1986-09-10,1986-09-12,1144,400,10
U.S. Drought/Heat Wave,Drought,1988-06-01,1988-08-31,54610.4,20003.8,454
Southern Derecho and Severe Storms,Severe Storm,1989-05-01,1989-05-06,1406.3,551.5,21
Tropical Storm Allison,Tropical Cyclone,1989-06-26,1989-06-28,1485.9,585,11
Hurricane Hugo,Tropical Cyclone,1989-09-21,1989-09-22,22679.7,8999.9,86
Northern Plains Drought,Drought,1989-06-01,1989-11-30,7838.3,3003.2,0
Florida Freeze,Freeze,1989-12-23,1989-12-25,5220,2000,10
"Winter Storm, Cold Wave",Winter Storm,1989-12-21,1989-12-26,1700.4,680,100
Southern Flooding,Flooding,1990-05-11,1990-05-19,2456.9,1006.9,13
Colorado Hail Storm,Severe Storm,1990-07-11,1990-07-11,1984.5,820.1,0
Western Fire Season,Wildfire,1990-06-01,1990-08-31,1716,715,17
California Freeze,Freeze,1990-12-18,1990-12-25,8432,3400,0
"Severe Storms, Tornadoes",Severe Storm,1991-03-26,1991-03-29,1509.4,645,0
Hurricane Bob,Tropical Cyclone,1991-08-18,1991-08-20,3471.8,1502.9,18
U.S. Drought,Drought,1991-03-01,1991-08-31,7039.8,3008.5,0
Oakland Firestorm,Wildfire,1991-10-01,1991-10-31,7590,3300,25
Severe Storms,Severe Storm,1992-03-24,1992-03-25,1817.9,804.3,0
"Hail, Tornadoes",Severe Storm,1992-04-28,1992-04-29,2157,954.4,0
"Severe Storms, Hail",Severe Storm,1992-06-19,1992-06-20,1683.1,748,0
Hurricane Andrew,Tropical Cyclone,1992-08-23,1992-08-27,60480,27000,61
Hurricane Iniki,Tropical Cyclone,1992-09-11,1992-09-12,6913,3100,7
Southeast Severe Weather,Severe Storm,1992-11-21,1992-11-23,1458.5,657,26
Northeast Winter Storm,Winter Storm,1992-12-10,1992-12-13,5512.4,2483,19
East Coast Blizzard and Severe Weather,Winter Storm,1993-03-11,1993-03-14,12159.4,5527,270
Northern Plains and Ohio Valley Severe Weather,Severe Storm,1993-07-08,1993-07-10,1403.9,644,1
Midwest Flooding,Flooding,1993-06-27,1993-08-15,46323.6,20960.9,48
Southeast Drought and Heat Wave,Drought,1993-06-01,1993-08-31,2780.2,1258,16
California Wildfires,Wildfire,1993-09-01,1993-11-30,2976.2,1371.5,4
"Winter Storm, Cold Wave",Winter Storm,1994-01-17,1994-01-20,2246.3,1040,70
Southeast Ice Storm,Winter Storm,1994-02-08,1994-02-13,6444.9,2997.5,9
Midwest/Plains Tornadoes,Severe Storm,1994-04-25,1994-04-27,2108.4,985.1,3
Tropical Storm Alberto,Tropical Cyclone,1994-07-07,1994-07-10,2126.8,998.5,32
Texas Flooding,Flooding,1994-10-16,1994-10-25,2110,1000,19
Western Fire Season,Wildfire,1994-06-01,1994-11-30,1544.4,725,0
California Flooding,Flooding,1995-01-01,1995-03-31,5250,2500,27
Texas Hail Storm,Severe Storm,1995-04-28,1995-04-28,1196,575,0
South Plains Severe Weather,Severe Storm,1995-05-05,1995-05-07,11357,5486.5,32
Hurricane Erin,Tropical Cyclone,1995-08-01,1995-08-07,1751,850,6
Hurricane Marilyn,Tropical Cyclone,1995-09-15,1995-09-17,4326,2100,13
"Central, Southern and Northeast Drought/Heat Wave",Drought,1995-07-01,1995-09-30,2027,984,872
Hurricane Opal,Tropical Cyclone,1995-10-04,1995-10-06,9612.5,4689,27
Blizzard/Floods,Winter Storm,1996-01-01,1996-01-31,6126.2,3003,187
Pacific Northwest Severe Flooding,Flooding,1996-02-07,1996-02-12,2056.9,1008.3,9
Southern Plains Drought,Drought,1996-03-01,1996-08-31,3654.5,1791.5,0
Hurricane Fran,Tropical Cyclone,1996-09-05,1996-09-08,10014,5007,37
New England Flooding,Flooding,1996-10-19,1996-10-22,1352,676,1
West Coast Flooding,Flooding,1997-01-01,1997-01-11,5973.6,3017,36
Mississippi and Ohio Valley Severe Weather and Flooding,Severe Storm,1997-02-28,1997-03-05,1935.5,977.5,67
Northern Plains Flooding,Flooding,1997-02-03,1997-05-24,7279.5,3676.5,11
Northeast Ice Storm,Winter Storm,1998-01-05,1998-01-09,2733.5,1401.8,16
Western/Eastern Severe Weather and Flooding,Severe Storm,1997-12-01,1998-02-28,1968.7,1004.5,132
Minnesota Severe Storms/Hail,Severe Storm,1998-05-15,1998-05-15,3164.6,1631.3,1
"Northern Plains and Great Lakes Derecho, Tornadoes",Severe Storm,1998-05-30,1998-06-02,2208.3,1138.4,20
Central and Eastern Severe Storms and Flooding,Severe Storm,1998-06-20,1998-06-24,1734.5,894,12
Tropical Storm Frances,Tropical Cyclone,1998-08-08,1998-08-13,1351,700,2
Hurricane Bonnie,Tropical Cyclone,1998-08-27,1998-08-29,1891.4,980,3
Southern Drought and Heat Wave,Drought,1998-06-01,1998-08-31,6879.7,3528,200
Hurricane Georges,Tropical Cyclone,1998-09-20,1998-09-29,11550.1,5984.5,16
Texas Flooding,Flooding,1998-10-16,1998-10-24,1808.8,942.1,31
California Freeze,Freeze,1998-12-20,1998-12-28,4875,2500,0
Central and Eastern Winter Storm,Winter Storm,1999-01-01,1999-01-04,1982.3,1032.5,25
Central and Eastern Winter Storm,Winter Storm,1999-01-13,1999-01-16,1693.4,882,0
Oklahoma and Kansas Tornadoes,Severe Storm,1999-05-03,1999-05-06,3823.3,2012.1,55
Eastern Drought/Heat Wave,Drought,1999-06-01,1999-08-31,4797.8,2498.9,502
Hurricane Floyd,Tropical Cyclone,1999-09-14,1999-09-16,12203.2,6491,77
Southeast Winter Storm,Winter Storm,2000-01-21,2000-01-24,1320.3,706,4
Southern Severe Weather,Severe Storm,2000-03-28,2000-03-29,1269.6,690,0
Western Fire Season,Wildfire,2000-03-01,2000-08-31,1978,1075,0
South Florida Flooding,Flooding,2000-10-03,2000-10-04,1629,900,3
Western/Central/Southeast Drought/Heat Wave,Drought,2000-03-01,2000-11-30,9344.8,4997.2,140
Midwest/Ohio Valley Hail and Tornadoes,Severe Storm,2001-04-06,2001-04-11,5508.7,3094.8,3
North Central Severe Weather,Severe Storm,2001-04-30,2001-05-01,1194.3,671,0
Tropical Storm Allison,Tropical Cyclone,2001-06-05,2001-06-17,15084,8522,43
Severe Storms and Tornadoes,Severe Storm,2002-04-27,2002-04-28,3663.9,2093.8,7
Hurricane Lili,Tropical Cyclone,2002-08-01,2002-08-05,1932.9,1104.5,2
Tropical Storm Isidore,Tropical Cyclone,2002-09-25,2002-09-27,2001,1150,5
Eastern Tornadoes and Severe Storms,Severe Storm,2002-11-09,2002-11-11,1252.8,720,28
Western Fire Season,Wildfire,2002-09-01,2002-11-30,2301.8,1322.8,21
U.S. Drought,Drought,2002-03-01,2002-11-30,16031.6,9006.4,0
Severe Storms/Hail,Severe Storm,2003-04-04,2003-04-07,3451,2006.3,3
Severe Storms/Tornadoes,Severe Storm,2003-05-03,2003-05-10,7100.9,4128.4,51
Midwest/Plains Severe Weather,Severe Storm,2003-07-04,2003-07-09,1476,858.1,7
Southern Derecho and Eastern Severe Weather,Severe Storm,2003-07-21,2003-07-23,1734.2,1008.2,7
Hurricane Isabel,Tropical Cyclone,2003-09-18,2003-09-19,9322.9,5484,55
California Wildfires,Wildfire,2003-09-01,2003-11-30,6613.7,3890.4,22
Western/Central Drought/Heat Wave,Drought,2003-03-01,2003-11-30,8731.1,5017.7,35
"Severe Storms, Hail, Tornadoes",Severe Storm,2004-05-21,2004-05-27,1693.3,1013.9,4
Colorado Hail Storms,Severe Storm,2004-06-08,2004-06-09,1153.7,695,0
Hurricane Charley,Tropical Cyclone,2004-08-13,2004-08-14,26559.2,15999.5,35
Hurricane Frances,Tropical Cyclone,2004-09-03,2004-09-09,16268,9800,48
Hurricane Ivan,Tropical Cyclone,2004-09-12,2004-09-21,34031,20500.5,57
Hurricane Jeanne,Tropical Cyclone,2004-09-15,2004-09-29,12444.5,7496.5,28
Southeast Severe Weather,Severe Storm,2005-03-24,2005-03-27,1410,865,0
Hurricane Dennis,Tropical Cyclone,2005-07-09,2005-07-11,4017,2495,15
Hurricane Katrina,Tropical Cyclone,2005-08-25,2005-08-30,201297.5,125029.5,1833
Midwest Drought,Drought,2005-03-01,2005-08-31,2433.6,1474.8,0
Hurricane Rita,Tropical Cyclone,2005-09-20,2005-09-24,29415.2,18500.1,119
Hurricane Wilma,Tropical Cyclone,2005-10-24,2005-10-24,30020,19000,35
Severe Storms and Tornadoes,Severe Storm,2006-03-08,2006-03-13,2113.3,1337.5,10
Midwest/Southeast Tornadoes,Severe Storm,2006-04-06,2006-04-08,2518.2,1603.8,10
Midwest Tornadoes,Severe Storm,2006-04-13,2006-04-16,3804.9,2423.5,27
Northeast Flooding,Flooding,2006-06-25,2006-06-28,2358.5,1521.6,20
North Central Severe Weather and Tornadoes,Severe Storm,2006-08-23,2006-08-24,1176.6,759,1
Midwest/Plains/Southeast Drought,Drought,2006-03-01,2006-08-31,9536.7,5997.9,0
Central Severe Weather,Severe Storm,2006-10-02,2006-10-05,1371.3,879,1
Numerous Wildfires,Wildfire,2006-01-01,2006-12-31,2332.8,1467.1,28
California Freeze,Freeze,2007-01-11,2007-01-17,2184,1400,1
Spring Freeze,Freeze,2007-04-04,2007-04-10,3188.5,2044,0
East/South Severe Weather and Flooding,Severe Storm,2007-04-13,2007-04-17,3836.9,2507.8,9
Western Wildfires,Wildfire,2007-06-01,2007-08-31,4139.4,2741.3,12
Western/Eastern Drought/Heat Wave,Drought,2007-06-01,2007-11-30,5519.7,3538.3,15
"Western, Central and Northeast Severe Weather",Severe Storm,2008-01-04,2008-01-09,1463.3,982,12
Southeast Tornadoes and Severe Weather,Severe Storm,2008-02-05,2008-02-06,1805.3,1211.6,57
Southeast Tornadoes,Severe Storm,2008-03-14,2008-03-15,1673.9,1131,5
Southern Severe Weather,Severe Storm,2008-04-09,2008-04-11,1528.3,1039.6,2
Midwest Tornadoes and Severe Weather,Severe Storm,2008-05-22,2008-05-27,4423.1,3029.5,13
Midwest/Mid-Atlantic Severe Weather,Severe Storm,2008-06-06,2008-06-12,2355.7,1635.9,18
Midwest Flooding,Flooding,2008-04-01,2008-06-30,14838,9958.4,24
Hurricane Dolly,Tropical Cyclone,2008-07-23,2008-07-25,1812.2,1267.3,3
Hurricane Gustav,Tropical Cyclone,2008-08-31,2008-09-03,8635.7,5997,53
Hurricane Ike,Tropical Cyclone,2008-09-12,2008-09-14,43198.4,29998.8,112
U.S. Wildfires,Wildfire,2008-09-01,2008-11-30,1777,1234,16
U.S. Drought,Drought,2008-01-01,2008-12-31,10444.7,7009.8,0
Southeast/Ohio Valley Severe Weather,Severe Storm,2009-02-10,2009-02-11,2592.9,1740.2,10
Midwest/Southeast Tornadoes,Severe Storm,2009-03-25,2009-03-28,2427.9,1640.5,0
South/Southeast Severe Weather and Tornadoes,Severe Storm,2009-04-09,2009-04-10,2116.4,1430.1,6
Central Derecho and Tornadoes,Severe Storm,2009-05-07,2009-05-09,1274.2,861,7
"Midwest, South and East Severe Weather",Severe Storm,2009-06-09,2009-06-12,1939,1328.1,0
Colorado Hail Storm,Severe Storm,2009-07-20,2009-07-20,1470,1000,0
Georgia Flooding,Flooding,2009-09-19,2009-09-22,1311.8,898.5,10
Western Wildfires,Wildfire,2009-06-01,2009-11-30,1477.4,1011.9,10
Southwest/Great Plains Drought,Drought,2009-01-01,2009-12-31,5203.2,3492,0
Northeast Winter Storm,Winter Storm,2010-02-09,2010-02-11,1192.8,817,3
Northeast Flooding,Flooding,2010-03-01,2010-03-31,2692.6,1844.2,11
East/South Flooding and Severe Weather,Flooding,2010-04-30,2010-05-02,3308.8,2266.3,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",Severe Storm,2010-05-10,2010-05-12,4834,3333.8,3
Rockies/Central/East Severe Weather,Severe Storm,2010-06-10,2010-06-15,1306.7,901,2
Midwest/Northeast Severe Storms and Flooding,Severe Storm,2010-07-20,2010-07-23,1375.1,948.3,0
Arizona Severe Weather,Severe Storm,2010-10-05,2010-10-06,5472,3800,0
Groundhog Day Blizzard,Winter Storm,2011-02-01,2011-02-03,2565.7,1794.2,36
Midwest/Southeast Tornadoes and Derecho,Severe Storm,2011-04-04,2011-04-05,3885.3,2775.2,9
Southeast/Midwest Tornadoes,Severe Storm,2011-04-08,2011-04-11,3051,2179.3,0
Midwest/Southeast Tornadoes,Severe Storm,2011-04-14,2011-04-16,2882.9,2059.2,38
Ohio Valley Derecho and Southern Tornadoes,Severe Storm,2011-04-19,2011-04-20,1452.8,1037.5,0
Southeast/Ohio Valley/Midwest Tornadoes,Severe Storm,2011-04-25,2011-04-28,14310.7,10222,321
Midwest/Southeast Tornadoes,Severe Storm,2011-05-22,2011-05-27,12735.6,9096.8,177
Mississippi River flooding,Flooding,2011-04-01,2011-05-31,4270.1,2986,7
Midwest/Southeast Tornadoes and Severe Weather,Severe Storm,2011-06-18,2011-06-22,2152.3,1537.3,3
Missouri River flooding,Flooding,2011-05-01,2011-06-30,2863.3,2002.3,5
North Central Severe Weather,Severe Storm,2011-07-01,2011-07-01,1243.2,888,0
Rockies and Midwest Derecho,Severe Storm,2011-07-10,2011-07-11,1729.1,1235,2
Midwest/Southeast Severe Weather,Severe Storm,2011-08-17,2011-08-18,1600.4,1151.4,0
Hurricane Irene,Tropical Cyclone,2011-08-26,2011-08-28,18756.7,13494,45
Southern Plains/Southwest Drought and Heat Wave,Drought,2011-03-01,2011-08-31,17109.5,11964.8,95
Tropical Storm Lee,Tropical Cyclone,2011-09-01,2011-09-05,3492.4,2512.5,21
Northeastern Winter Storm,Winter Storm,2011-10-29,2011-10-30,1285.8,925,1
"Texas, New Mexico, Arizona Wildfires",Wildfire,2011-06-01,2011-11-30,2549.1,1820.8,5
Southeast/Ohio Valley Tornadoes,Severe Storm,2012-03-02,2012-03-03,4317.9,3128.8,42
Texas Tornadoes,Severe Storm,2012-04-02,2012-04-03,1390.9,1015.3,0
Midwest Tornadoes,Severe Storm,2012-04-13,2012-04-14,1539.4,1123.6,6
Midwest/Ohio Valley Severe Weather,Severe Storm,2012-04-28,2012-05-01,4488.6,3276.3,1
Southern Plains/Midwest/Northeast Severe Weather,Severe Storm,2012-05-25,2012-05-30,3156.1,2303.7,1
Rockies/Southwest Severe Weather,Severe Storm,2012-06-06,2012-06-12,3559,2597.8,0
Plains/East/Northeast Derecho,Severe Storm,2012-06-29,2012-07-02,3957,2888.4,28
Hurricane Isaac,Tropical Cyclone,2012-08-26,2012-08-31,3786.1,2763.5,9
Hurricane Sandy,Tropical Cyclone,2012-10-30,2012-10-31,88453.9,65039.6,159
Western Wildfires,Wildfire,2012-06-01,2012-11-30,2381.7,1738.5,8
U.S. Drought/Heat Wave,Drought,2012-01-01,2012-12-31,41705.2,30003.6,123
Southern Severe Weather,Severe Storm,2013-02-24,2013-02-25,1253.9,922,1
Southeast Severe Weather,Severe Storm,2013-03-18,2013-03-18,2747.2,2020,1
Midwest/Plains Severe Weather,Severe Storm,2013-04-07,2013-04-11,1963.8,1444,1
Illinois Flooding and Severe Weather,Flooding,2013-04-16,2013-04-19,1464.7,1077,4
Midwest/Plains/East Tornadoes,Severe Storm,2013-05-18,2013-05-22,3240.5,2400.3,27
Midwest/Plains/Northeast Tornadoes,Severe Storm,2013-05-27,2013-05-31,2448.4,1813.5,10
Midwest Severe Weather,Severe Storm,2013-08-06,2013-08-07,1406.7,1041.9,0
Colorado Flooding,Flooding,2013-09-10,2013-09-16,2036.5,1508.5,9
Ohio Valley Tornadoes,Severe Storm,2013-11-17,2013-11-17,1472.2,1090.6,8
Western/Plains Drought/Heat Wave,Drought,2013-03-01,2013-11-30,14283.6,10425.9,53
Midwest/Southeast/Northeast Winter Storm,Winter Storm,2014-01-05,2014-01-08,2933.4,2172.7,16
Plains Severe Weather,Severe Storm,2014-04-02,2014-04-03,1908.1,1424,0
Central Severe Weather,Severe Storm,2014-04-12,2014-04-13,1221.1,918,0
Midwest/Southeast/Northeast Tornadoes and Flooding,Severe Storm,2014-04-27,2014-05-01,2309.2,1736.1,33
