Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Center Severe Weather,Severe Storm,2014-05-10,2014-05-14,1134.5,853,0
Rockies/Midwest/Eastern Severe Weather,Severe Storm,2014-05-18,2014-05-23,4938.6,3713.2,0
Rockies/Central Plains Severe Weather,Severe Storm,2014-06-03,2014-06-05,2533.4,1919.2,2
Michigan and Northeast Flooding,Flooding,2014-08-11,2014-08-13,1361.9,1031.7,2
Rockies/Plains Severe Weather,Severe Storm,2014-09-29,2014-10-02,1862.6,1400.4,0
Western Drought,Drought,2014-01-01,2014-12-31,5334.8,3951.7,0
"Central and Eastern Winter storm, Cold Wave",Winter Storm,2015-02-14,2015-02-20,3969.3,2962.1,30
Midwest/Ohio Valley Severe Weather,Severe Storm,2015-04-07,2015-04-09,2069,1555.6,2
South/Southeast Severe Weather,Severe Storm,2015-04-18,2015-04-20,1707.6,1283.9,0
South and Southeast Severe Weather,Severe Storm,2015-04-24,2015-04-25,1255.8,944,3
Southern Plains Tornadoes,Severe Storm,2015-05-06,2015-05-10,1691.9,1272.1,4
Texas and Oklahoma Flooding and Severe Weather,Flooding,2015-05-23,2015-05-26,3375.6,2500.4,31
Central and Northeast Severe Weather,Severe Storm,2015-06-21,2015-06-25,1547.1,1172,1
South Carolina and East Coast Flooding,Flooding,2015-10-01,2015-10-05,2657.6,1998.2,25
Western and Alaskan Wildfires,Wildfire,2015-06-01,2015-11-30,3996.9,3028,12
Texas Tornadoes and Midwest Flooding,Severe Storm,2015-12-26,2015-12-29,2609.3,1961.9,50
Western Drought,Drought,2015-01-01,2015-12-31,6029.3,4466,0
Southeast and Eastern Tornadoes,Severe Storm,2016-02-22,2016-02-24,1383.5,1040,10
Texas and Louisiana Flooding,Flooding,2016-03-08,2016-03-12,3052.1,2294.8,5
Southern Severe Weather,Severe Storm,2016-03-17,2016-03-18,1597.6,1210.3,1
North Texas Hail Storm,Severe Storm,2016-03-23,2016-03-24,2725.5,2064.8,0
North/Central Texas Hail Storm,Severe Storm,2016-04-10,2016-04-12,4618.1,3498.6,0
Houston Flooding,Flooding,2016-04-17,2016-04-18,3559.1,2676,8
South/Southeast Tornadoes,Severe Storm,2016-04-26,2016-05-02,3160.8,2394.5,6
Plains Tornadoes and Central Severe Weather,Severe Storm,2016-05-08,2016-05-11,2252.9,1719.6,2
Rockies/Central Tornadoes and Severe Weather,Severe Storm,2016-05-21,2016-05-26,1501.5,1146.3,0
West Virginia Flooding and Ohio Valley Tornadoes,Flooding,2016-06-22,2016-06-24,1288.5,968.8,23
Rockies and Northeast Severe Weather,Severe Storm,2016-07-28,2016-07-30,1920,1465.6,0
Louisiana Flooding,Flooding,2016-08-12,2016-08-15,13300,10000,13
Hurricane Matthew,Tropical Cyclone,2016-10-08,2016-10-12,13100,10000,49
Western/Southeast Wildfires,Wildfire,2016-06-01,2016-12-31,3137.5,2395,21
West/Northeast/Southeast Drought,Drought,2016-01-01,2016-12-31,4580,3443.5,0
Southern Tornado Outbreak and Western Storms,Severe Storm,2017-01-20,2017-01-22,1436.5,1105,24
California Flooding,Flooding,2017-02-08,2017-02-22,1950,1500,5
Central/Southeast Tornado Outbreak,Severe Storm,2017-02-28,2017-03-01,2347.8,1806,6
Midwest Tornado Outbreak,Severe Storm,2017-03-06,2017-03-08,2828.8,2176,2
Southeast Freeze,Freeze,2017-03-14,2017-03-16,1300,1000,0
South/Southeast Severe Weather,Severe Storm,2017-03-26,2017-03-28,3476.6,2695,0
Southeast Severe Weather and Tornadoes,Severe Storm,2017-04-04,2017-04-06,1259.2,976,1
South and Southeast Severe Weather,Severe Storm,2017-04-20,2017-04-22,1152,893,0
Missouri and Arkansas Flooding and Central Severe Weather,Flooding,2017-04-25,2017-05-07,2156.7,1659,20
Colorado Hail Storm and Central Severe Weather,Severe Storm,2017-05-08,2017-05-11,4321.5,3350,0
North Central Severe Weather and Tornadoes,Severe Storm,2017-05-15,2017-05-18,1214.1,941,1
Minnesota Hail Storm and Upper Midwest Severe Weather,Severe Storm,2017-06-09,2017-06-11,3031.5,2350,0
Midwest Severe Weather,Severe Storm,2017-06-12,2017-06-16,1946.7,1509,0
Midwest Severe Weather,Severe Storm,2017-06-27,2017-06-29,1838.3,1425,0
Hurricane Harvey,Tropical Cyclone,2017-08-25,2017-08-31,160000,125000,89
Hurricane Irma,Tropical Cyclone,2017-09-06,2017-09-12,64000,50000,97
Hurricane Maria,Tropical Cyclone,2017-09-19,2017-09-21,115200,90000,2981
"Western Wildfires, California Firestorm",Wildfire,2017-06-01,2017-12-31,23226.5,18005,54
"North Dakota, South Dakota and Montana Drought",Drought,2017-03-01,2017-12-31,3250,2500,0
Central and Eastern Winter Storm,Winter Storm,2018-01-03,2018-01-05,1324.6,1043,22
Northeast Winter Storm,Winter Storm,2018-03-01,2018-03-03,2786.4,2194,9
Southeastern Tornadoes and Severe Weather,Severe Storm,2018-03-18,2018-03-21,1844.1,1452,0
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2018-04-13,2018-04-16,1660.7,1318,3
Central and Northeast Severe Weather,Severe Storm,2018-05-01,2018-05-04,1751.3,1390,0
Central and Eastern Severe Weather,Severe Storm,2018-05-13,2018-05-15,1726.2,1370,5
Texas Hail Storm,Severe Storm,2018-06-06,2018-06-06,1625,1300,0
Colorado Hail Storm,Severe Storm,2018-06-13,2018-06-13,1193.8,955,0
Colorado Hail Storm,Severe Storm,2018-06-18,2018-06-19,2778.8,2223,0
Central and Eastern Tornadoes and Severe Weather,Severe Storm,2018-07-19,2018-07-22,1981.6,1585,0
Mountain West Severe Weather,Severe Storm,2018-07-26,2018-07-29,1063.8,851,0
Rockies and Plains Hail Storms,Severe Storm,2018-08-06,2018-08-07,1281.4,1025,0
Hurricane Florence,Tropical Cyclone,2018-09-13,2018-09-16,30000,24000,53
Hurricane Michael,Tropical Cyclone,2018-10-10,2018-10-11,31218.8,24975,49
Southwest/Southern Plains Drought,Drought,2018-06-01,2018-12-30,3797.4,2990,0
"Western Wildfires, California Firestorm",Wildfire,2018-06-01,2018-12-31,30000,24000,106
"Southeast, Ohio Valley and Northeast Severe Weather",Severe Storm,2019-02-23,2019-02-25,1547.2,1237.5,2
Texas Hail Storm,Severe Storm,2019-03-22,2019-03-24,1903.4,1535,0
Missouri River and North Central Flooding,Flooding,2019-03-14,2019-03-31,13408.9,10727,3
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2019-04-13,2019-04-14,1540,1252,7
South and Southeast Severe Weather,Severe Storm,2019-05-07,2019-05-13,1862.4,1514,0
Central Severe Weather,Severe Storm,2019-05-16,2019-05-18,1196.9,973,0
"Rockies, Central and Northeast Tornadoes and Severe Weather",Severe Storm,2019-05-26,2019-05-29,5655.6,4598,3
Arkansas River Flooding,Flooding,2019-05-20,2019-06-14,3720.8,3025,5
Colorado Hail Storms,Severe Storm,2019-07-04,2019-07-05,1239.8,1008,0
"Mississippi River, Midwest and Southern Flooding",Flooding,2019-03-15,2019-07-31,7649.6,6169,4
Hurricane Dorian,Tropical Cyclone,2019-08-28,2019-09-06,1980.3,1610,10
Tropical Storm Imelda,Tropical Cyclone,2019-09-17,2019-09-21,6150,5000,5
Texas Tornadoes and Central Severe Weather,Severe Storm,2019-10-20,2019-10-20,2113.1,1718,2
California and Alaska Wildfires,Wildfire,2019-06-01,2019-11-30,5535,4500,3
Southeast Tornadoes and Northern Storms and Flooding,Severe Storm,2020-01-10,2020-01-12,1401.8,1149,10
"South, East and Northeast Severe Weather",Severe Storm,2020-02-05,2020-02-07,1532.2,1256,3
Tennessee Tornadoes and Southeast Severe Weather,Severe Storm,2020-03-02,2020-03-04,2850,2336,25
Midwest and Ohio Valley Severe Weather,Severe Storm,2020-03-27,2020-03-28,3120.9,2558,0
North Central and Ohio Valley Hail Storms and Severe Weather,Severe Storm,2020-04-07,2020-04-08,3543.9,2881,0
Southeast and Eastern Tornado Outbreak,Severe Storm,2020-04-12,2020-04-13,4236.2,3444,35
Southern Severe Weather,Severe Storm,2020-04-21,2020-04-23,1660.6,1350,3
"Central, Southern and Eastern Severe Weather",Severe Storm,2020-04-27,2020-04-30,1263.3,1027,1
Central and Eastern Severe Weather,Severe Storm,2020-05-03,2020-05-05,2598.9,2113,2
"South, Central and Eastern Severe Weather",Severe Storm,2020-05-20,2020-05-23,1948.6,1584,2
South Texas Hail Storms,Severe Storm,2020-05-27,2020-05-27,1722,1400,0
Central Severe Weather,Severe Storm,2020-07-10,2020-07-11,1459.1,1196,0
Hurricane Hanna,Tropical Cyclone,2020-07-25,2020-07-26,1300.8,1075,0
Hurricane Isaias,Tropical Cyclone,2020-08-03,2020-08-04,5756.1,4757,16
Central Severe Weather - Derecho,Severe Storm,2020-08-10,2020-08-10,13452.9,11027,4
Hurricane Laura,Tropical Cyclone,2020-08-27,2020-08-28,28090.3,23215,42
Hurricane Sally,Tropical Cyclone,2020-09-15,2020-09-17,8801.5,7274,5
Hurricane Delta,Tropical Cyclone,2020-10-09,2020-10-11,3469.3,2867,5
Hurricane Zeta,Tropical Cyclone,2020-10-28,2020-10-29,5266,4352,6
Tropical Storm Eta,Tropical Cyclone,2020-11-08,2020-11-12,1766.7,1460,12
"Western Wildfires - California, Oregon, Washington Firestorms",Wildfire,2020-08-01,2020-12-30,19904.5,16450,46
Western/Central Drought and Heat Wave,Drought,2020-06-01,2020-12-30,5439.1,4495,45
California Flooding and Severe Weather,Flooding,2021-01-24,2021-01-29,1325,1095,2
"Northwest, Central, Eastern Winter Storm and Cold Wave",Winter Storm,2021-02-10,2021-02-19,27223.2,22686,262
Southeast Tornadoes and Severe Weather,Severe Storm,2021-03-24,2021-03-25,1995.8,1677,6
Eastern Severe Weather,Severe Storm,2021-03-27,2021-03-28,1601.9,1346,8
Texas Hail Storms,Severe Storm,2021-04-12,2021-04-15,1755.3,1475,0
Texas and Oklahoma Severe Weather,Severe Storm,2021-04-27,2021-04-28,3747.4,3149,0
Southern Tornadoes and Southeast Severe Weather,Severe Storm,2021-05-02,2021-05-04,1479.1,1264,4
Louisiana Flooding,Flooding,2021-05-17,2021-05-18,1569.6,1319,5
Ohio Valley Hail Storms,Severe Storm,2021-06-17,2021-06-18,1980.1,1707,0
Central Severe Storms,Severe Storm,2021-06-24,2021-06-26,1453.6,1253,0
Tropical Storm Elsa,Tropical Cyclone,2021-07-07,2021-07-09,1407.1,1213,1
Central Severe Storms,Severe Storm,2021-07-08,2021-07-11,1252.8,1080,0
North Central Severe Weather,Severe Storm,2021-08-10,2021-08-13,1489.5,1284,2
Tropical Storm Fred,Tropical Cyclone,2021-08-16,2021-08-18,1481.3,1277,7
Hurricane Ida,Tropical Cyclone,2021-08-29,2021-09-01,84608.1,73572,96
Hurricane Nicholas,Tropical Cyclone,2021-09-14,2021-09-18,1168.5,1016,0
"Southeast, Central Tornado Outbreak",Severe Storm,2021-12-10,2021-12-10,4463.1,3915,93
Midwest Derecho and Tornado Outbreak,Severe Storm,2021-12-15,2021-12-15,2031.5,1782,1
Western Wildfires,Wildfire,2021-06-01,2021-12-31,12064,10400,8
Western Drought and Heat Wave,Drought,2021-01-01,2021-12-31,10201.9,8431,229
Texas Hail Storms,Severe Storm,2022-02-21,2022-02-22,1118.9,1008,0
Southern Tornado Outbreak,Severe Storm,2022-03-30,2022-03-30,1381.6,1256,2
Southeast Tornado Outbreak,Severe Storm,2022-04-04,2022-04-06,1544.8,1417,3
Southern Severe Weather,Severe Storm,2022-04-11,2022-04-13,2915.7,2675,1
Southern and Central Severe Weather,Severe Storm,2022-05-01,2022-05-03,1230.1,1139,1
North Central Hail Storms,Severe Storm,2022-05-09,2022-05-09,2354.4,2160,0
North Central Severe Weather,Severe Storm,2022-05-11,2022-05-12,2949.6,2706,1
North Central Hail Storms,Severe Storm,2022-05-19,2022-05-19,2625.4,2431,0
Central Severe Weather,Severe Storm,2022-06-07,2022-06-08,2025.7,1911,0
Central Derecho,Severe Storm,2022-06-13,2022-06-13,3386.6,3195,1
North Central and Eastern Severe Weather,Severe Storm,2022-07-22,2022-07-24,1420.4,1340,1
Kentucky and Missouri Flooding,Flooding,2022-07-26,2022-07-28,1552.9,1465,42
Hurricane Fiona,Tropical Cyclone,2022-09-17,2022-09-18,2685.7,2510,25
Hurricane Ian,Tropical Cyclone,2022-09-28,2022-09-30,119626,111800,152
Hurricane Nicole,Tropical Cyclone,2022-11-10,2022-11-11,1081.2,1020,5
Western Wildfires,Wildfire,2022-04-01,2022-11-30,3296.6,3110,17
Central and Eastern Winter Storm and Cold Wave,Winter Storm,2022-12-21,2022-12-26,8951.7,8445,87
Western/Central Drought and Heat Wave,Drought,2022-01-01,2022-12-31,23480.6,20965,136
Northeastern Winter Storm/Cold Wave,Winter Storm,2023-02-02,2023-02-05,1838.8,1751,1
Southern and Eastern Severe Weather,Severe Storm,2023-03-02,2023-03-03,6170,5876,13
California Flooding,Flooding,2022-12-26,2023-03-19,4725,4500,22
Southern and Eastern Severe Weather,Severe Storm,2023-03-24,2023-03-26,2956,2815,23
Central Tornado Outbreak and Eastern Severe Weather,Severe Storm,2023-03-31,2023-04-01,5909.8,5628,33
Central and Eastern Severe Weather,Severe Storm,2023-04-04,2023-04-06,2956.1,2815,5
Fort Lauderdale Flash Flood,Flooding,2023-04-12,2023-04-13,1144,1100,0
Central and Southern Severe Weather,Severe Storm,2023-04-15,2023-04-15,1401.9,1335,0
Central Severe Weather,Severe Storm,2023-04-19,2023-04-20,3108.3,2960,1
Southern Severe Weather,Severe Storm,2023-04-25,2023-04-27,1372.8,1320,0
Central Severe Weather,Severe Storm,2023-05-06,2023-05-08,2222.5,2137,1
Central and Eastern Tornadoes and Hail Storms,Severe Storm,2023-05-10,2023-05-12,3563,3426,1
Texas Hail Storms,Severe Storm,2023-05-18,2023-05-19,1690,1625,0
Typhoon Mawar,Tropical Cyclone,2023-05-24,2023-05-25,4420,4250,2
Southern Severe Weather,Severe Storm,2023-06-11,2023-06-14,4193.2,4032,0
Central and Southern Severe Weather,Severe Storm,2023-06-15,2023-06-18,3918.7,3768,5
Rockies Hail Storms and Central and Eastern Severe Weather,Severe Storm,2023-06-21,2023-06-26,5453.9,5244,8
Central Severe Weather,Severe Storm,2023-06-28,2023-07-02,1976.8,1919,3
Northeastern Flooding and North Central Severe Weather,Flooding,2023-07-09,2023-07-15,2230.4,2165,10
North Central and Southeastern Severe Weather,Severe Storm,2023-07-19,2023-07-21,1887,1832,1
North Central and Eastern Severe Weather,Severe Storm,2023-07-28,2023-07-29,1526.6,1482,2
Hawaii Firestorm,Wildfire,2023-08-08,2023-08-08,5665,5500,100
Northeastern and Eastern Severe Weather,Severe Storm,2023-08-05,2023-08-08,1680.2,1631,4
Minnesota Hail Storms,Severe Storm,2023-08-11,2023-08-11,1828.3,1775,0
Hurricane Idalia,Tropical Cyclone,2023-08-29,2023-08-31,3559.7,3456,5
Southern Hail Storms,Severe Storm,2023-09-23,2023-09-24,1694.5,1645,0
Southern/Midwestern Drought and Heatwave,Drought,2023-04-01,2023-09-30,14786.7,14082,247
East Coast Storm and Flooding,Flooding,2023-12-16,2023-12-18,1314.4,1276,5
Southern Tornado Outbreak and East Coast Storm,Severe Storm,2024-01-08,2024-01-10,2780.2,2726,3
Northwest Winter Storm,Winter Storm,2024-01-12,2024-01-14,1723.8,1690,20
"Central, Southern, Northeastern Winter Storm and Cold Wave",Winter Storm,2024-01-14,2024-01-18,1948.3,1910,41
Southern Severe Weather,Severe Storm,2024-02-10,2024-02-12,1072,1051,0
Central and Eastern Severe Weather,Severe Storm,2024-02-27,2024-02-28,1534,1504,0
Central and Southern Severe Weather,Severe Storm,2024-03-12,2024-03-14,6151.6,6031,3
Central Tornado Outbreak and Eastern Severe Weather,Severe Storm,2024-04-01,2024-04-03,2465.5,2441,3
Southern and Eastern Severe Weather,Severe Storm,2024-04-08,2024-04-11,2725.1,2698,0
Central and Southern Tornado Outbreak,Severe Storm,2024-04-26,2024-04-28,1697.8,1681,3
"Central, Southern, Southeastern Tornado Outbreak",Severe Storm,2024-05-06,2024-05-09,6571,6571,3
Southern Severe Weather,Severe Storm,2024-05-11,2024-05-13,1124,1124,1
Southern Derecho,Severe Storm,2024-05-16,2024-05-17,1551,1551,8
"Central, Southern, Eastern Severe Weather",Severe Storm,2024-05-18,2024-05-22,4907.8,4859,5
Central Tornado Outbreak,Severe Storm,2024-05-25,2024-05-26,3466.4,3432,16
Texas Hail Storms,Severe Storm,2024-05-27,2024-05-28,2348.3,2325,1
Colorado Hail Storms and Southern Severe Weather,Severe Storm,2024-05-31,2024-06-01,3012.8,2983,0
Central and Eastern Severe Weather,Severe Storm,2024-06-12,2024-06-14,1228,1228,0
Upper Midwest Flooding,Flooding,2024-06-16,2024-06-23,1113,1113,4
Central and Northeast Severe Weather,Severe Storm,2024-06-24,2024-06-26,1704,1704,3
New Mexico Wildfires,Wildfire,2024-06-17,2024-07-07,1780,1780,2
Hurricane Beryl,Tropical Cyclone,2024-07-08,2024-07-08,7219,7219,46
Central and Eastern Tornado Outbreak and Severe Weather,Severe Storm,2024-07-13,2024-07-16,2435,2435,2
Hurricane Debby,Tropical Cyclone,2024-08-05,2024-08-09,2476,2476,17
Hurricane Francine,Tropical Cyclone,2024-09-11,2024-09-12,1291,1291,0
Hurricane Helene,Tropical Cyclone,2024-09-24,2024-09-29,78721,78721,219
Hurricane Milton,Tropical Cyclone,2024-10-09,2024-10-10,34250,34250,32
Southern/Eastern/Northwestern Drought and Heat Wave,Drought,2024-01-01,2024-12-31,5417,5311,136
